;SIMULATION DB;12/4/2019;;;1. Lampost;1. Lampost;2. Lighting ;2. Lighting ;3. Energy ;3. Energy ;3. Energy ;4. Public Safety ;4. Public Safety ;4. Public Safety ;5. Environmental Monitoring ;5. Environmental Monitoring ;5. Environmental Monitoring ;6. Signage ;7. Movement Monitoring ;7. Movement Monitoring ;8. Connectivity ;8. Connectivity ;8. Connectivity ;;
178;4. Revenues;4.8 Source 3;Item 1;AlphaNum;0;0;0;0;https://polar-network.com;0;0;0;0;0;0;0;0;https://www.luton.gov.uk/council_government_and_democracy/councils/communications/sponsorship%20and%20advertising/pages/lamppost%20advertising%20(managed%20by%20bay%20media).aspx;0;0;Internal research;0;0;;
179;4. Revenues;4.9 Source 1 - Short;Item 1;AlphaNum;0;0;0;0;https://www.preciseparklink.com/;0;0;0;0;0;0;0;0;https://www.hastings.gov.uk/;0;0;https://nypost.com;0;0;;
180;4. Revenues;4.91 Source 2 - Short;Item 1;AlphaNum;0;0;0;0;https://www.evgo.com/;0;0;0;0;0;0;0;0;https://www.peterborough.gov.uk/;0;0;https://apolitical.co/;0;0;;
181;4. Revenues;4.92 Source 3 - Short;Item 1;AlphaNum;0;0;0;0;https://polar-network.com;0;0;0;0;0;0;0;0;https://www.luton.gov.uk/;0;0;Internal research;0;0;;
182;4. Revenues;4.1 Name;Item 2;AlphaNum;0;0;0;0;Electricity charging fees;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
183;4. Revenues;4.2 Unit;Item 2;AlphaNum;0;0;0;0;Per charging point;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
184;4. Revenues;4.3 Ratio # Units / Measure per month;Item 2;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
185;4. Revenues;4.4 Price per Unit - Min;Item 2;£;0;0;0;0;525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
186;4. Revenues;4.5 Price per Unit - Max;Item 2;£;0;0;0;0;875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
187;4. Revenues;4.6 Source 1;Item 2;AlphaNum;0;0;0;0;https://www.justpark.com/uk/parking/london/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
188;4. Revenues;4.7 Source 2;Item 2;AlphaNum;0;0;0;0;"https://www.reminetwork.com/articles/the-benefits-of-ev-charging-stations/
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
189;4. Revenues;4.8 Source 3;Item 2;AlphaNum;0;0;0;0;https://char.gy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
190;4. Revenues;4.9 Source 1 - Short;Item 2;AlphaNum;0;0;0;0;https://www.justpark.com/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
191;4. Revenues;4.91 Source 2 - Short;Item 2;AlphaNum;0;0;0;0;https://www.reminetwork.com/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
192;4. Revenues;4.92 Source 3 - Short;Item 2;AlphaNum;0;0;0;0;https://char.gy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
193;4. Revenues;4.1 Name;Item 3;AlphaNum;0;0;0;0;Fees for parking-services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
194;4. Revenues;4.2 Unit;Item 3;AlphaNum;0;0;0;0;Per charging point;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
195;4. Revenues;4.3 Ratio # Units / Measure per month;Item 3;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
196;4. Revenues;4.4 Price per Unit - Min;Item 3;£;0;0;0;0;455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
197;4. Revenues;4.5 Price per Unit - Max;Item 3;£;0;0;0;0;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
198;4. Revenues;4.6 Source 1;Item 3;AlphaNum;0;0;0;0;Internal research;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
199;4. Revenues;4.7 Source 2;Item 3;AlphaNum;0;0;0;0;"https://www.yourparkingspace.co.uk/london-parking-spaces-and-garages-to-rent
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
200;4. Revenues;4.8 Source 3;Item 3;AlphaNum;0;0;0;0;"https://greentransportation.info/ev-charging/range-confidence/chap4-charging/making-money.html
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
201;4. Revenues;4.9 Source 1 - Short;Item 3;AlphaNum;0;0;0;0;Internal research;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
202;4. Revenues;4.91 Source 2 - Short;Item 3;AlphaNum;0;0;0;0;https://www.yourparkingspace.co.uk/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
203;4. Revenues;4.92 Source 3 - Short;Item 3;AlphaNum;0;0;0;0;https://greentransportation.info/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
204;4. Revenues;4.1 Name;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
205;4. Revenues;4.2 Unit;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
206;4. Revenues;4.3 Ratio # Units / Measure per month;Item 4;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
207;4. Revenues;4.4 Price per Unit - Min;Item 4;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
208;4. Revenues;4.5 Price per Unit - Max;Item 4;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
209;4. Revenues;4.6 Source 1;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
210;4. Revenues;4.7 Source 2;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
211;4. Revenues;4.8 Source 3;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
212;4. Revenues;4.9 Source 1 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
213;4. Revenues;4.91 Source 2 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
214;4. Revenues;4.92 Source 3 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
215;4. Revenues;4.1 Name;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
216;4. Revenues;4.2 Unit;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
217;4. Revenues;4.3 Ratio # Units / Measure per month;Item 5;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
218;4. Revenues;4.4 Price per Unit - Min;Item 5;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
219;4. Revenues;4.5 Price per Unit - Max;Item 5;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
220;4. Revenues;4.6 Source 1;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
221;4. Revenues;4.7 Source 2;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
222;4. Revenues;4.8 Source 3;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
223;4. Revenues;4.9 Source 1 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
224;4. Revenues;4.91 Source 2 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
225;4. Revenues;4.92 Source 3 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
226;5. Cash releasing benefits;5.1 Name;Item 1;AlphaNum;0;0;Reduction of Electricity costs;Reduction of Electricity costs;0;Reduction of Electricity costs;Reduction of Electricity costs;0;0;0;0;0;0;0;0;0;0;0;0;;
227;5. Cash releasing benefits;5.2 Unit;Item 1;AlphaNum;0;0;Kwh;Per Kwh;0;Per Kwh;Per Kwh;0;0;0;0;0;0;0;0;0;0;0;0;;
228;5. Cash releasing benefits;5.3 Baseline Ratio # Units / Measure;Item 1;Num #;0;0;600;600;0;600;600;0;0;0;0;0;0;0;0;0;0;0;0;;
229;5. Cash releasing benefits;5.4 Baseline monthly cost per unit;Item 1;£;0;0;0,12;0,12;0;0,12;0,12;0;0;0;0;0;0;0;0;0;0;0;0;;
230;5. Cash releasing benefits;5.5 % Reduction of Number of Unit . Min;Item 1;%;0%;0%;50%;15%;0%;40%;40%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
231;5. Cash releasing benefits;5.6 % Reduction of Number of Unit . Max;Item 1;%;0%;0%;70%;50%;0%;60%;60%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
232;5. Cash releasing benefits;5.7 % Reduction of Unit Cost . Min;Item 1;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
233;5. Cash releasing benefits;5.8 % Reduction of Unit Cost . Max;Item 1;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
234;5. Cash releasing benefits;5.9 Source 1;Item 1;AlphaNum;0%;0%;http://www.eclairageprofessionnel.fr/relamping-led-transition-energetique/;"https://www.lumenia.com/solutions/lumenia-cms-lum-central-management-system
";0;https://mysolarhome.us/solar-lamp-post/;"https://ledcorporations.com/led-lighting-news/the-cost-of-electricity-how-utility-companies-are-charging-consumers/
";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
235;5. Cash releasing benefits;5.91 Source 2;Item 1;AlphaNum;0%;0%;https://www.theclimategroup.org/news/cities-can-save-50-70-energy-upgrading-smart-connected-led-street-lights;"http://www.torbay.gov.uk/DemocraticServices/documents/s16818/Capital.20Plan.20Appendix.202.pdf
";0;" https://ledcorporations.com/led-lighting-news/the-cost-of-electricity-how-utility-companies-are-charging-consumers/
";"https://www.cornwallhomeshow.co.uk/benefits-battery-storage/
";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
236;5. Cash releasing benefits;5.92 Source 3;Item 1;AlphaNum;0;0;http://www.telford.gov.uk/info/20046/street_care_and_cleaning/3310/street_lighting_-_led_upgrade;"https://www.telensa.com/news/telensa-supplies-cms-system-for-leicester-citys-led-street-lighting-energy-reduction-project
";0;"https://info.lightinus.com/solar-street-lights#how_smart_they_can_be_
";0;0;0;0;0;0;0;0;0;0;0;0;0;;
237;5. Cash releasing benefits;5.93 Source 1 - Short;Item 1;AlphaNum;0%;0%;http://www.eclairageprofessionnel.fr/;https://www.lumenia.com/;0;https://mysolarhome.us/;https://ledcorporations.com/;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
238;5. Cash releasing benefits;5.92 Source 2 - Short;Item 1;AlphaNum;0%;0%;https://www.theclimategroup.org/;http://www.torbay.gov.uk/;0;https://ledcorporations.com/;https://www.cornwallhomeshow.co.uk/;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
239;5. Cash releasing benefits;5.93 Source 3 - Short;Item 1;AlphaNum;0%;0%;http://www.telford.gov.uk/;https://www.telensa.com/;0;https://info.lightinus.com/;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
240;5. Cash releasing benefits;5.1 Name;Item 2;AlphaNum;0;0;Reduction of light Maintenance costs ;Reduction of light Maintenance costs ;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;;
241;5. Cash releasing benefits;5.2 Unit;Item 2;AlphaNum;0;0;Per Light bulb;Per light bulb;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;;
242;5. Cash releasing benefits;5.3 Baseline Ratio # Units / Measure;Item 2;Num #;0;0;1;1;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;;
243;5. Cash releasing benefits;5.4 Baseline monthly cost per unit;Item 2;£;0;0;30;30;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;;
244;5. Cash releasing benefits;5.5 % Reduction of Number of Unit . Min;Item 2;%;0%;0%;0%;45%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
245;5. Cash releasing benefits;5.6 % Reduction of Number of Unit . Max;Item 2;%;0%;0%;0%;60%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
246;5. Cash releasing benefits;5.7 % Reduction of Unit Cost . Min;Item 2;%;0%;0%;50%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
247;5. Cash releasing benefits;5.8 % Reduction of Unit Cost . Max;Item 2;%;0%;0%;80%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
248;5. Cash releasing benefits;5.9 Source 1;Item 2;AlphaNum;0%;0%;"http://www.eclairageprofessionnel.fr/relamping-led-transition-energetique/
";" https://www.lumenia.com/solutions/lumenia-cms-lum-central-management-system
";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
249;5. Cash releasing benefits;5.91 Source 2;Item 2;AlphaNum;0%;0%;https://www.surrey.ca/city-services/4614.aspx;"https://www.osram.com/ds/knowledge/street-light-control-by-osram-innovative-light-management-system-for-outdoor-areas/index.jsp
";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
250;5. Cash releasing benefits;5.92 Source 3;Item 2;AlphaNum;0;0;https://www.streetlights-solar.com/2018/07/19/cost-comparison-between-solar-vs-traditional-lights/;"http://www.torbay.gov.uk/DemocraticServices/documents/s16818/Capital%20Plan%20Appendix%202.pdf
";0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;;
251;5. Cash releasing benefits;5.93 Source 1 - Short;Item 2;AlphaNum;0%;0%;http://www.eclairageprofessionnel.fr/;https://www.lumenia.com/;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
252;5. Cash releasing benefits;5.92 Source 2 - Short;Item 2;AlphaNum;0%;0%;https://www.surrey.ca/;https://www.osram.com/;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
253;5. Cash releasing benefits;5.93 Source 3 - Short;Item 2;AlphaNum;0%;0%;https://www.streetlights-solar.com/;http://www.torbay.gov.uk/;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
254;5. Cash releasing benefits;5.1 Name;Item 3;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;;
255;5. Cash releasing benefits;5.2 Unit;Item 3;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;;
256;5. Cash releasing benefits;5.3 Baseline Ratio # Units / Measure;Item 3;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;;
257;5. Cash releasing benefits;5.4 Baseline monthly cost per unit;Item 3;£;0;0;0;0;0;0;0;0;0;0;0;0;0%;0%;0%;0%;0%;0%;0%;;
258;5. Cash releasing benefits;5.5 % Reduction of Number of Unit . Min;Item 3;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
259;5. Cash releasing benefits;5.6 % Reduction of Number of Unit . Max;Item 3;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
260;5. Cash releasing benefits;5.7 % Reduction of Unit Cost . Min;Item 3;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
261;5. Cash releasing benefits;5.8 % Reduction of Unit Cost . Max;Item 3;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
262;5. Cash releasing benefits;5.9 Source 1;Item 3;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0;0%;0%;0;0%;0%;0%;0%;0%;0%;0%;;
263;5. Cash releasing benefits;5.91 Source 2;Item 3;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0;0%;0%;0;0%;0;0;0;0;0;0;;
264;5. Cash releasing benefits;5.92 Source 3;Item 3;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0;0%;0%;0;0%;0%;0%;0%;0%;0%;0%;;
265;5. Cash releasing benefits;5.93 Source 1 - Short;Item 3;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0;0%;0%;0;0%;0%;0%;0%;0%;0%;0%;;
266;5. Cash releasing benefits;5.92 Source 2 - Short;Item 3;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0;0%;0%;0;0%;0%;0%;0%;0%;0%;0%;;
267;5. Cash releasing benefits;5.93 Source 3 - Short;Item 3;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0;0%;0%;0;0%;0%;0%;0%;0%;0%;0%;;
268;5. Cash releasing benefits;5.1 Name;Item 4;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
269;5. Cash releasing benefits;5.2 Unit;Item 4;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
270;5. Cash releasing benefits;5.3 Baseline Ratio # Units / Measure;Item 4;Num #;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
271;5. Cash releasing benefits;5.4 Baseline monthly cost per unit;Item 4;£;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
272;5. Cash releasing benefits;5.5 % Reduction of Number of Unit . Min;Item 4;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
273;5. Cash releasing benefits;5.6 % Reduction of Number of Unit . Max;Item 4;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
274;5. Cash releasing benefits;5.7 % Reduction of Unit Cost . Min;Item 4;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
275;5. Cash releasing benefits;5.8 % Reduction of Unit Cost . Max;Item 4;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
276;5. Cash releasing benefits;5.9 Source 1;Item 4;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
277;5. Cash releasing benefits;5.91 Source 2;Item 4;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
278;5. Cash releasing benefits;5.92 Source 3;Item 4;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
279;5. Cash releasing benefits;5.93 Source 1 - Short;Item 4;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
280;5. Cash releasing benefits;5.92 Source 2 - Short;Item 4;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
281;5. Cash releasing benefits;5.93 Source 3 - Short;Item 4;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0;0;0;0;0;0;;
282;5. Cash releasing benefits;5.1 Name;Item 5;AlphaNum;0%;0%;0%;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
283;5. Cash releasing benefits;5.2 Unit;Item 5;AlphaNum;0%;0%;0%;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
284;5. Cash releasing benefits;5.3 Baseline Ratio # Units / Measure;Item 5;Num #;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0;0%;0%;0%;0%;0%;0%;;
285;5. Cash releasing benefits;5.4 Baseline monthly cost per unit;Item 5;£;0%;0%;0%;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
286;5. Cash releasing benefits;5.5 % Reduction of Number of Unit . Min;Item 5;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
287;5. Cash releasing benefits;5.6 % Reduction of Number of Unit . Max;Item 5;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
288;5. Cash releasing benefits;5.7 % Reduction of Unit Cost . Min;Item 5;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
289;5. Cash releasing benefits;5.8 % Reduction of Unit Cost . Max;Item 5;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
290;5. Cash releasing benefits;5.9 Source 1;Item 5;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
291;5. Cash releasing benefits;5.91 Source 2;Item 5;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
292;5. Cash releasing benefits;5.92 Source 3;Item 5;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
293;5. Cash releasing benefits;5.93 Source 1 - Short;Item 5;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
294;5. Cash releasing benefits;5.94 Source 2 - Short;Item 5;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
295;5. Cash releasing benefits;5.95 Source 3 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0%;0%;0%;0%;;
296;6. Wider benefits;6.1 Name;Item 1;AlphaNum;0;0;Carbon savings;Carbon savings;0%;Carbon savings;Reduction of cabling Maintenance;Crime reduction & prevention;0;0;Carbon savings;Improved security surveillance system;Reduction of flood cost;0;Reduces number of traffic accidents;0;0%;0;0;;
297;6. Wider benefits;6.2 Unit;Item 1;AlphaNum;0;0;Per Ton of carbon;Per Ton of carbon;0%;Per Ton of carbon;Per cabling system;Per crime (property, persons) ;0;0;Per Ton of carbon;Per safety investigation;Per claimed inhabitant;0;Per accident;0;0%;0;0;;
298;6. Wider benefits;6.3 Baseline Ratio # Units / Measure;Item 1;Num #;0;0;0,017;0,017;0%;0,017;0,025;0,065;0;0;0,017;0,00038;0,069;0;0,000383721;0;0%;0;0;;
299;6. Wider benefits;6.4 Baseline monthly cost per unit;Item 1;£;0;0;16;16;0%;16;8;4800;0;0;16;2415;1310;0;14374;0;0%;0;0;;
300;6. Wider benefits;6.5 % Reduction of Number of Unit . Min;Item 1;%;0%;0%;20%;20%;0%;85%;10%;10%;0%;0%;20%;40%;10%;0%;10%;0%;0%;0%;0%;;
301;6. Wider benefits;6.6 % Reduction of Number of Unit . Max;Item 1;%;0%;0%;40%;60%;0%;100%;30%;30%;0%;0%;40%;60%;20%;0%;20%;0%;0%;0%;0%;;
302;6. Wider benefits;6.7 % Reduction of Unit Cost . Min;Item 1;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
303;6. Wider benefits;6.8 % Reduction of Unit Cost . Max;Item 1;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
304;6. Wider benefits;6.9 Source 1;Item 1;AlphaNum;0%;0%;https://www.surrey.ca/city-services/4614.aspx;https://www.citintelly.com/intelligent-street-lighting-products/street-lighting-control-system/;0%;"https://www.smallbizdaily.com/4-ways-ev-charging-stations-can-benefit-business/
";"https://reneweconomy.com.au/hidden-cost-of-rooftop-solar-who-should-pay-for-maintenance-99200/
";https://reolink.com/pros-cons-of-surveillance-cameras-in-public-places/;0%;0%;"https://www.epa.gov/air-research/deliberating-performance-targets-air-quality-sensors-workshop
";https://www.oti.fi/en/oti/investigation-of-road-accidents/;http://www.libelium.com/smart_water_wsn_flood_detection/;0;https://www.researchgate.net/publication/12411590_Traffic_accident_reduction_by_monitoring_driver_behaviour_with_in-car_data_recorders;0;0%;0;0;;
305;6. Wider benefits;6.91 Source 2;Item 1;AlphaNum;0%;0%;https://www.theguardian.com/environment/2016/mar/20/energy-efficient-street-lights;https://www.theguardian.com/environment/2016/mar/20/energy-efficient-street-lights;0%;" https://www.reminetwork.com/articles/the-benefits-of-ev-charging-stations/
";"https://solarpanelsvenue.com/what-is-the-cost-of-using-solar-energy/
";https://www.eurovigil.in/blog/5-major-benefits-of-installing-cctv-cameras-at-public-places/;0%;0%;"https://www.c40.org/press_releases/hyperlocal-sensor-project-london
";https://spectrum.ieee.org/computing/it/san-diego-installs-smart-streetlights-to-monitor-the-metropolis;http://enlight.network/ensense-water-level-sensor/;0%;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&ved=2ahUKEwi6-5TV4PjgAhVK2xoKHVn3Cn0QFjAHegQIAxAC&url=http%3A%2F%2Feuropa.eu%2Frapid%2Fpress-release_MEMO-17-675_en.pdf&usg=AOvVaw04idUypPQo8a8W86vsI02z;0%;0%;0%;0%;;
306;6. Wider benefits;6.92 Source 3;Item 1;AlphaNum;0%;0%;https://www.saving-light-bulbs.co.uk/blog/how-much-co2-does-a-light-bulb-create/;https://www.saving-light-bulbs.co.uk/blog/how-much-co2-does-a-light-bulb-create/;0%;0;https://www.alpha-ess.com/Upload/Images/20181121024141_818178.pdf;https://kinder.rice.edu/sites/g/files/bxs1676/f/documents/Kinder%20Streetlights%20and%20Crime%20report.pdf;0;0;https://www.cbc.ca/news/technology/san-diego-smart-city-parking-1.4498964;https://www.oti.fi/;https://www.fema.gov/data-visualization-floods-data-visualization;0;https://www.statista.com/statistics/192097/number-of-vehicles-involved-in-traffic-crashes-in-the-us/;0;0%;0;0;;
307;6. Wider benefits;6.93 Source 1 - Short;Item 1;AlphaNum;0%;0%;https://www.surrey.ca/;https://www.citintelly.com/;0%;https://www.smallbizdaily.com/;https://reneweconomy.com.au/;https://reolink.com/;0%;0%;https://www.epa.gov/;https://arxiv.org;http://www.libelium.com/;0%;https://www.researchgate.net/;0%;0%;0%;0%;;
308;6. Wider benefits;6.92 Source 2 - Short;Item 1;AlphaNum;0%;0%;https://www.theguardian.com;https://www.theguardian.com;0%;https://www.reminetwork.com/;https://solarpanelsvenue.com/;https://www.eurovigil.in/;0%;0%;https://www.c40.org/;https://spectrum.ieee.org/;http://enlight.network/;0%;https://www.google.com/;0%;0%;0%;0%;;
309;6. Wider benefits;6.93 Source 3 - Short;Item 1;AlphaNum;0%;0%;https://www.saving-light-bulbs.co.uk/;https://www.saving-light-bulbs.co.uk/;0;0%;https://www.alpha-ess.com/;https://kinder.rice.edu/;0%;0%;https://www.cbc.ca/;https://www.urbiotica.com/;https://www.fema.gov/;0%;https://www.statista.com/;0%;0%;0%;0%;;
